kind,space,subspace,spaceIcon,subspaceIcon,title,prompt,modelAnswer
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 001 - Registradores básicos,"Explique o papel dos registradores de propósito geral no z/Architecture, com foco em R1, R13, R14 e R15. Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.",R1 costuma carregar parâmetros; R13 aponta para save area; R14 guarda o retorno; R15 costuma trazer endereço de entrada e return code.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 002 - Análise de conceito: MVC,"Em um exercício prático de z/OS, você precisa lidar com o tema 'MVC'. Considere uma rotina que usa MVC para mover 20 bytes de uma área A para uma área B. O que MVC faz e que cuidado você teria com sobreposição?","MVC move bytes de uma origem para um destino. Em caso de áreas sobrepostas, é preciso avaliar a direção do movimento para não corromper dados."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 003 - Troubleshooting: CLC e desvio,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'CLC e desvio'. Você compara dois campos alfanuméricos com CLC e depois usa BE. O que essa combinação verifica?",CLC compara byte a byte; BE desvia quando o resultado da comparação indica igualdade.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 004 - Revisão técnica: CLI,Revise o conceito 'CLI' e responda: Quando CLI é mais apropriado do que CLC em assembler?,CLI compara um único byte ou caractere com um literal imediato; é útil para testar flags e códigos curtos.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 005 - LA e LR,"Diferencie LA e LR em uma rotina simples de endereçamento. Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.",LA carrega um endereço ou deslocamento calculado; LR copia o conteúdo de um registrador para outro.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 006 - Análise de conceito: Save area,"Em um exercício prático de z/OS, você precisa lidar com o tema 'Save area'. Descreva o fluxo básico de save area na entrada de um programa assembler.","A rotina salva registradores do chamador, encadeia save areas, estabelece base register e preserva o contexto antes do processamento."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 007 - Troubleshooting: USING,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'USING'. Para que serve USING em um programa assembler e por que ele é importante para endereçamento base-displacement?",USING informa ao assembler qual registrador servirá como base para resolver endereços simbólicos.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 008 - Revisão técnica: DROP,Revise o conceito 'DROP' e responda: Quando DROP deve ser usado e o que ele não faz em tempo de execução?,DROP remove uma associação de base apenas para o assembler. Não altera o conteúdo do registrador em execução.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 009 - BCT,"Como BCT pode ser usado para controlar um loop de 10 iterações? Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.",Carrega-se o contador em um registrador; BCT decrementa e desvia enquanto o resultado não for zero.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 010 - Análise de conceito: BALR,"Em um exercício prático de z/OS, você precisa lidar com o tema 'BALR'. Explique o uso clássico de BALR 12,0 no início de programas assembler antigos.",Ele inicializa um registrador com o endereço corrente para servir de base e permitir endereçamento relativo.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 011 - Troubleshooting: Parâmetros via R1,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'Parâmetros via R1'. Como um programa assembler normalmente recebe parâmetros em batch?","O endereço da lista de parâmetros costuma chegar em R1, apontando para um bloco com endereços ou dados."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 012 - Revisão técnica: Return code,Revise o conceito 'Return code' e responda: Como um programa assembler normalmente devolve RC para o chamador?,O RC é geralmente colocado em R15 antes do BR 14 ou retorno equivalente.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 013 - DC e DS,"Diferencie DC e DS na definição de dados. Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.",DC define e inicializa constante/área; DS apenas reserva espaço sem inicialização explícita.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 014 - Análise de conceito: CSECT e DSECT,"Em um exercício prático de z/OS, você precisa lidar com o tema 'CSECT e DSECT'. Qual a diferença entre CSECT e DSECT?",CSECT define uma seção de controle gerável; DSECT descreve layout simbólico sem reservar armazenamento executável.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 015 - Troubleshooting: Packed decimal,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'Packed decimal'. Quando usar AP, SP e ZAP em vez de instruções de ponto fixo?","Essas instruções são adequadas para campos decimais compactados, comuns em processamento financeiro."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 016 - Revisão técnica: S0C7,Revise o conceito 'S0C7' e responda: Um programa abendeia com S0C7 após instrução decimal. Que hipótese inicial você levantaria?,Provável dado inválido em campo numérico/packed ou layout incorreto alimentando operação decimal.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 017 - EX,"Qual é a utilidade da instrução EX? Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.","Ela executa dinamicamente outra instrução, normalmente ajustando comprimento ou operando antes da execução."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 018 - Análise de conceito: TRT,"Em um exercício prático de z/OS, você precisa lidar com o tema 'TRT'. Para que TRT é útil em validação de campos?","TRT varre bytes e identifica ocorrência de caracteres conforme uma tabela, útil para validar classes de caracteres."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 019 - Troubleshooting: Tabela de busca,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'Tabela de busca'. Como você faria uma busca sequencial simples em uma tabela assembler?","Definiria a tabela, iteraria com contador/deslocamento, compararia cada entrada e desviaria ao encontrar correspondência."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 020 - Revisão técnica: Base register,Revise o conceito 'Base register' e responda: O que pode acontecer se um base register for sobrescrito sem reestabelecimento?,Referências simbólicas podem apontar para áreas erradas e gerar dados corrompidos ou S0C4.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 021 - S0C4,"Que situações comuns levam a S0C4 em assembler? Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.","Endereço inválido, ponteiro nulo/errado, base register incorreto ou acesso fora da área endereçável."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 022 - Análise de conceito: Leitura de mapa,"Em um exercício prático de z/OS, você precisa lidar com o tema 'Leitura de mapa'. Por que o mapa de compilação ou listagem é útil para depurar assembler?","Ajuda a correlacionar deslocamentos, labels, registradores base e instruções executadas."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 023 - Troubleshooting: Endereçamento,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'Endereçamento'. Explique a diferença entre endereçamento imediato, registrador e memória em termos práticos.",Imediato usa literal embutido; registrador usa valor já carregado; memória depende de endereço resolvido em tempo de execução.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 024 - Revisão técnica: Loop com compare,Revise o conceito 'Loop com compare' e responda: Como montar um loop que percorra registros até encontrar um código X'FF' de fim lógico?,"Ler byte/campo, comparar com literal, desviar para fim se encontrar, senão avançar ponteiro e repetir."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 025 - Integração com COBOL,"Em uma chamada entre COBOL e assembler, o que você verificaria primeiro ao depurar parâmetros? Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.","Ordem e formato dos parâmetros, convenção de passagem, tamanhos dos campos e endereço recebido em R1."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 026 - Análise de conceito: Registradores básicos,"Em um exercício prático de z/OS, você precisa lidar com o tema 'Registradores básicos'. Explique o papel dos registradores de propósito geral no z/Architecture, com foco em R1, R13, R14 e R15.",R1 costuma carregar parâmetros; R13 aponta para save area; R14 guarda o retorno; R15 costuma trazer endereço de entrada e return code.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 027 - Troubleshooting: MVC,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'MVC'. Considere uma rotina que usa MVC para mover 20 bytes de uma área A para uma área B. O que MVC faz e que cuidado você teria com sobreposição?","MVC move bytes de uma origem para um destino. Em caso de áreas sobrepostas, é preciso avaliar a direção do movimento para não corromper dados."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 028 - Revisão técnica: CLC e desvio,Revise o conceito 'CLC e desvio' e responda: Você compara dois campos alfanuméricos com CLC e depois usa BE. O que essa combinação verifica?,CLC compara byte a byte; BE desvia quando o resultado da comparação indica igualdade.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 029 - CLI,"Quando CLI é mais apropriado do que CLC em assembler? Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.",CLI compara um único byte ou caractere com um literal imediato; é útil para testar flags e códigos curtos.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 030 - Análise de conceito: LA e LR,"Em um exercício prático de z/OS, você precisa lidar com o tema 'LA e LR'. Diferencie LA e LR em uma rotina simples de endereçamento.",LA carrega um endereço ou deslocamento calculado; LR copia o conteúdo de um registrador para outro.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 031 - Troubleshooting: Save area,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'Save area'. Descreva o fluxo básico de save area na entrada de um programa assembler.","A rotina salva registradores do chamador, encadeia save areas, estabelece base register e preserva o contexto antes do processamento."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 032 - Revisão técnica: USING,Revise o conceito 'USING' e responda: Para que serve USING em um programa assembler e por que ele é importante para endereçamento base-displacement?,USING informa ao assembler qual registrador servirá como base para resolver endereços simbólicos.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 033 - DROP,"Quando DROP deve ser usado e o que ele não faz em tempo de execução? Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.",DROP remove uma associação de base apenas para o assembler. Não altera o conteúdo do registrador em execução.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 034 - Análise de conceito: BCT,"Em um exercício prático de z/OS, você precisa lidar com o tema 'BCT'. Como BCT pode ser usado para controlar um loop de 10 iterações?",Carrega-se o contador em um registrador; BCT decrementa e desvia enquanto o resultado não for zero.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 035 - Troubleshooting: BALR,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'BALR'. Explique o uso clássico de BALR 12,0 no início de programas assembler antigos.",Ele inicializa um registrador com o endereço corrente para servir de base e permitir endereçamento relativo.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 036 - Revisão técnica: Parâmetros via R1,Revise o conceito 'Parâmetros via R1' e responda: Como um programa assembler normalmente recebe parâmetros em batch?,"O endereço da lista de parâmetros costuma chegar em R1, apontando para um bloco com endereços ou dados."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 037 - Return code,"Como um programa assembler normalmente devolve RC para o chamador? Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.",O RC é geralmente colocado em R15 antes do BR 14 ou retorno equivalente.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 038 - Análise de conceito: DC e DS,"Em um exercício prático de z/OS, você precisa lidar com o tema 'DC e DS'. Diferencie DC e DS na definição de dados.",DC define e inicializa constante/área; DS apenas reserva espaço sem inicialização explícita.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 039 - Troubleshooting: CSECT e DSECT,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'CSECT e DSECT'. Qual a diferença entre CSECT e DSECT?",CSECT define uma seção de controle gerável; DSECT descreve layout simbólico sem reservar armazenamento executável.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 040 - Revisão técnica: Packed decimal,"Revise o conceito 'Packed decimal' e responda: Quando usar AP, SP e ZAP em vez de instruções de ponto fixo?","Essas instruções são adequadas para campos decimais compactados, comuns em processamento financeiro."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 041 - S0C7,"Um programa abendeia com S0C7 após instrução decimal. Que hipótese inicial você levantaria? Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.",Provável dado inválido em campo numérico/packed ou layout incorreto alimentando operação decimal.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 042 - Análise de conceito: EX,"Em um exercício prático de z/OS, você precisa lidar com o tema 'EX'. Qual é a utilidade da instrução EX?","Ela executa dinamicamente outra instrução, normalmente ajustando comprimento ou operando antes da execução."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 043 - Troubleshooting: TRT,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'TRT'. Para que TRT é útil em validação de campos?","TRT varre bytes e identifica ocorrência de caracteres conforme uma tabela, útil para validar classes de caracteres."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 044 - Revisão técnica: Tabela de busca,Revise o conceito 'Tabela de busca' e responda: Como você faria uma busca sequencial simples em uma tabela assembler?,"Definiria a tabela, iteraria com contador/deslocamento, compararia cada entrada e desviaria ao encontrar correspondência."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 045 - Base register,"O que pode acontecer se um base register for sobrescrito sem reestabelecimento? Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.",Referências simbólicas podem apontar para áreas erradas e gerar dados corrompidos ou S0C4.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 046 - Análise de conceito: S0C4,"Em um exercício prático de z/OS, você precisa lidar com o tema 'S0C4'. Que situações comuns levam a S0C4 em assembler?","Endereço inválido, ponteiro nulo/errado, base register incorreto ou acesso fora da área endereçável."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 047 - Troubleshooting: Leitura de mapa,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'Leitura de mapa'. Por que o mapa de compilação ou listagem é útil para depurar assembler?","Ajuda a correlacionar deslocamentos, labels, registradores base e instruções executadas."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 048 - Revisão técnica: Endereçamento,"Revise o conceito 'Endereçamento' e responda: Explique a diferença entre endereçamento imediato, registrador e memória em termos práticos.",Imediato usa literal embutido; registrador usa valor já carregado; memória depende de endereço resolvido em tempo de execução.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 049 - Loop com compare,"Como montar um loop que percorra registros até encontrar um código X'FF' de fim lógico? Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.","Ler byte/campo, comparar com literal, desviar para fim se encontrar, senão avançar ponteiro e repetir."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 050 - Análise de conceito: Integração com COBOL,"Em um exercício prático de z/OS, você precisa lidar com o tema 'Integração com COBOL'. Em uma chamada entre COBOL e assembler, o que você verificaria primeiro ao depurar parâmetros?","Ordem e formato dos parâmetros, convenção de passagem, tamanhos dos campos e endereço recebido em R1."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 051 - Troubleshooting: Registradores básicos,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'Registradores básicos'. Explique o papel dos registradores de propósito geral no z/Architecture, com foco em R1, R13, R14 e R15.",R1 costuma carregar parâmetros; R13 aponta para save area; R14 guarda o retorno; R15 costuma trazer endereço de entrada e return code.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 052 - Revisão técnica: MVC,Revise o conceito 'MVC' e responda: Considere uma rotina que usa MVC para mover 20 bytes de uma área A para uma área B. O que MVC faz e que cuidado você teria com sobreposição?,"MVC move bytes de uma origem para um destino. Em caso de áreas sobrepostas, é preciso avaliar a direção do movimento para não corromper dados."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 053 - CLC e desvio,"Você compara dois campos alfanuméricos com CLC e depois usa BE. O que essa combinação verifica? Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.",CLC compara byte a byte; BE desvia quando o resultado da comparação indica igualdade.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 054 - Análise de conceito: CLI,"Em um exercício prático de z/OS, você precisa lidar com o tema 'CLI'. Quando CLI é mais apropriado do que CLC em assembler?",CLI compara um único byte ou caractere com um literal imediato; é útil para testar flags e códigos curtos.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 055 - Troubleshooting: LA e LR,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'LA e LR'. Diferencie LA e LR em uma rotina simples de endereçamento.",LA carrega um endereço ou deslocamento calculado; LR copia o conteúdo de um registrador para outro.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 056 - Revisão técnica: Save area,Revise o conceito 'Save area' e responda: Descreva o fluxo básico de save area na entrada de um programa assembler.,"A rotina salva registradores do chamador, encadeia save areas, estabelece base register e preserva o contexto antes do processamento."
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 057 - USING,"Para que serve USING em um programa assembler e por que ele é importante para endereçamento base-displacement? Dê uma resposta objetiva, como se estivesse explicando para um revisor técnico.",USING informa ao assembler qual registrador servirá como base para resolver endereços simbólicos.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 058 - Análise de conceito: DROP,"Em um exercício prático de z/OS, você precisa lidar com o tema 'DROP'. Quando DROP deve ser usado e o que ele não faz em tempo de execução?",DROP remove uma associação de base apenas para o assembler. Não altera o conteúdo do registrador em execução.
exercise,Mainframe,Assembly,🖥️,⚙️,Assembly 059 - Troubleshooting: BCT,"Durante o troubleshooting de uma rotina assembler, surgiu o tópico 'BCT'. Como BCT pode ser usado para controlar um loop de 10 iterações?",Carrega-se o contador em um registrador; BCT decrementa e desvia enquanto o resultado não for zero.
